season,game_date,home_team,away_team,home_score,away_score,outcome,elo_diff,ppg_diff,goals_for_diff,goals_against_diff,form_5g_diff,rest_days_diff,home_advantage_diff,xg_for_diff,xg_against_diff,possession_diff,draw_tendency_diff,travel_distance,midweek_flag,altitude_flag,is_home,poisson_home,poisson_draw,poisson_away
2019,2019-05-05,RSL,POR,1,2,A,8.3727,0.2361,0.3333,-0.3333,0.0,-2,0.75,0.025,-0.325,-4.1667,-0.0139,0.2141,0,1,1.0,0.3978,0.2273,0.3749
2019,2019-05-05,SJ,CIN,1,0,H,8.3506,0.0889,1.5,-0.1667,0.4667,4,0.3167,1.125,0.4,7.4,0.0222,0.6731,0,0,1.0,0.5955,0.2034,0.2011
2019,2019-05-05,LAFC,CHI,0,0,D,80.0936,1.3,1.3333,-0.5,0.3333,0,0.2,1.1667,-0.1667,12.5667,-0.1333,0.5821,0,0,1.0,0.6071,0.1838,0.209
2019,2019-05-06,SKC,ATL,0,3,A,10.4002,0.1071,1.6667,1.1667,-0.0667,-1,0.5833,0.3,0.675,-3.2,0.2143,0.2265,0,0,1.0,0.4377,0.2005,0.3617
2019,2019-05-08,ATL,TOR,2,0,H,-23.6028,-0.625,-1.1667,-0.8333,0.1333,-2,-0.1833,-0.0083,-0.3583,2.35,0.125,0.2444,1,0,1.0,0.4066,0.1972,0.3962
2019,2019-05-08,CLB,LA,3,1,H,-58.0587,-1.0,-1.1667,0.8333,-0.6667,-1,-0.45,-0.1417,0.2083,-1.6,-0.1,0.6591,1,0,1.0,0.3601,0.2197,0.4202
2019,2019-05-09,CHI,NE,5,0,H,48.3334,0.3,0.1667,-1.6667,0.0667,-1,0.0667,0.1833,-1.1333,0.4333,0.3,0.2796,1,0,1.0,0.4359,0.2567,0.3075
2019,2019-05-09,RBNY,MTL,1,2,A,-10.4437,-0.1778,0.3333,0.5,-0.1333,0,0.3083,0.1917,0.5167,3.35,0.0222,0.1093,1,0,1.0,0.4052,0.2428,0.352
2019,2019-05-11,VAN,POR,1,0,H,-10.3848,-0.2111,-0.5,-0.5,-0.0667,1,0.3333,-0.15,-0.3833,-0.4333,0.1889,0.0867,0,0,1.0,0.3615,0.2355,0.403
2019,2019-05-11,CIN,MTL,2,1,H,-55.7484,-0.9,-1.0,0.6667,-0.6,4,-0.1151,-0.4,0.7583,0.0167,0.0,0.2354,0,0,1.0,0.2753,0.2506,0.4742
2019,2019-05-11,DAL,RBNY,1,3,A,37.1165,0.6,0.3333,-0.1667,0.0,5,-0.3,-0.0083,0.4167,2.65,0.0,0.4588,0,0,1.0,0.3748,0.2298,0.3954
2019,2019-05-11,TOR,PHI,1,2,A,-7.1,-0.2222,-0.5,1.1667,-0.2667,-4,-0.5333,-0.475,0.375,5.1,-0.0889,0.1128,0,0,1.0,0.3112,0.2009,0.4879
2019,2019-05-11,LA,NYC,0,2,A,0.9232,0.4,0.0,0.6667,-0.2667,-4,1.0,-0.0667,0.925,-1.6167,-0.5,0.8165,0,0,1.0,0.3593,0.2196,0.4211
2019,2019-05-11,CLB,LAFC,0,3,A,-82.3934,-0.9,-1.0,1.3333,-0.3333,-3,-0.0619,-0.675,0.9583,-7.1333,-0.3,0.6591,0,0,1.0,0.272,0.1932,0.5347
2019,2019-05-11,NE,SJ,3,1,H,-47.1834,-0.4,-0.8333,2.5,-0.2667,-4,-0.1667,-1.025,0.825,-8.5167,-0.1,0.8909,0,0,1.0,0.2013,0.198,0.6007
2019,2019-05-12,CHI,MIN,2,0,H,-21.6232,-0.2,0.0,-0.8333,0.0667,-4,0.75,0.1083,-0.4,7.2667,0.1,0.1172,0,0,1.0,0.4096,0.2408,0.3495
2019,2019-05-12,COL,RSL,2,3,A,-45.1051,-0.8,0.0,1.5,-0.4,1,-0.3333,-0.275,0.2833,4.3,0.1,0.1229,0,1,1.0,0.3388,0.213,0.4482
2019,2019-05-12,SEA,HOU,1,0,H,-7.1573,-0.475,-0.8333,0.5,-0.4,-1,0.0833,-0.6583,0.125,-1.0833,0.275,0.6292,0,0,1.0,0.2723,0.2119,0.5158
2019,2019-05-12,ATL,ORL,1,0,H,39.0185,0.3556,0.1667,-1.0,0.3333,-4,-0.1833,0.6833,-0.6667,7.15,-0.0778,0.134,0,0,1.0,0.5306,0.1948,0.2746
2019,2019-05-12,DC,SKC,1,0,H,28.598,0.5889,-1.3333,-1.5,0.4,1,-0.5,-0.9583,-0.4,-7.55,-0.2444,0.3188,0,0,1.0,0.2378,0.2012,0.561
2019,2019-05-16,TOR,DC,0,0,D,-4.0816,-0.3,0.3333,1.0,-0.2,1,0.0286,0.0167,0.075,7.3333,0.0,0.1174,1,0,1.0,0.3862,0.2308,0.383
2019,2019-05-16,HOU,POR,1,1,D,49.5845,1.1111,0.5,-0.5,0.0,-1,0.8,-0.0167,-0.2167,-1.4,0.0111,0.611,1,0,1.0,0.3926,0.2175,0.3899
2019,2019-05-16,VAN,ATL,0,1,A,-39.6065,-0.5,-0.5,0.5,-0.1333,1,0.1333,-1.0667,0.825,-13.0333,0.1,0.7461,1,0,1.0,0.205,0.1898,0.6052
2019,2019-05-16,SEA,ORL,2,1,H,61.7496,0.8,0.3333,0.1667,0.1333,0,0.331,-0.175,-0.0417,-2.0333,0.2,0.8486,1,0,1.0,0.3516,0.2318,0.4166
2019,2019-05-18,MTL,NE,0,0,D,66.8796,0.4,-0.3333,-1.8333,0.3333,0,-0.1619,0.0917,-1.7417,6.55,0.1,0.0875,0,0,1.0,0.4313,0.2553,0.3135
2019,2019-05-18,RSL,TOR,3,0,H,-27.6629,-0.2,0.3333,-0.1667,0.3333,4,0.2857,0.025,-0.05,-9.7667,-0.2,0.5557,0,1,1.0,0.4063,0.1975,0.3962
2019,2019-05-18,SJ,CHI,4,1,H,-42.5126,-0.4,-0.3333,0.8333,0.0667,1,-0.0714,0.2583,0.8667,8.0667,-0.1,0.6134,0,0,1.0,0.4156,0.2303,0.3541
2019,2019-05-18,PHI,SEA,0,0,D,-2.5078,0.4,1.0,-0.6667,0.2667,5,0.0,0.675,-0.1583,5.45,-0.2,0.7916,0,0,1.0,0.5197,0.2117,0.2687
